type,likes,num_comments,num_shares,days_from_event,revenue,total_transactions,collab,date,num_posts,memberships_sold,pop,popcorn_large,popcorn_medium,popcorn_small,Alcohol,general_promo_likes,general_promo_shares,type_post,candy,event_id,movie_1_title,movie_2_title,movie_1_rating,movie_2_rating,movie_1_review_count,movie_2_review_count,movie_1_genre,movie_2_genre,movie_1_release_year,movie_2_release_year,num_movies,double_feature,avg_movie_rating,max_movie_rating,total_review_count,max_review_count,avg_release_year,oldest_release_year,event_year,avg_movie_age,primary_genre,popularity_bucket,log_max_review_count,log_total_review_count,month,day_of_week,total_engagement,engagement_per_post
Mubi,86.0,4.0,22.0,5.0,62.81,12.0,Yes,2025-12-12,2,7.0,2.0,1.0,2.0,3.0,0.0,73.0,27.0,both,0.0,44,The Mastermind,,3.2,,69184.0,,Crime/Drama,,2025.0,,1,0,3.2,3.2,69184.0,69184.0,2025.0,2025.0,2025,0.0,Crime,High,11.144539355103484,11.144539355103484,12,Friday,112.0,56.0
Regular screening,53.0,0.0,6.0,2.0,7.0,2.0,No,2025-12-15,2,0.0,0.0,1.0,1.0,0.0,0.0,61.0,34.0,both,0.0,45,Gremlins,12 Monkey,3.6,3.9,104791.0,52551.0,Comedy/Horror,Thriller/Mystery,1984.0,1995.0,2,1,3.75,3.9,157342.0,104791.0,1989.5,1984.0,2025,35.5,Comedy,High,11.559732712077485,11.966183414690148,12,Monday,59.0,29.5
Regular screening,86.0,4.0,15.0,2.0,33.0,6.0,No,2025-12-18,2,0.0,6.0,2.0,1.0,0.0,2.0,61.0,34.0,both,0.0,46,Meet Me in St.Louis,A Muppet Christmas Carol,3.8,4.1,25764.0,154239.0,Romance/Drama,Drama/Fantasy,1944.0,1992.0,2,1,3.9499999999999997,4.1,180003.0,154239.0,1968.0,1944.0,2025,57.0,Romance,High,11.946265109844372,12.10073435184766,12,Thursday,105.0,52.5
Regular screening,109.0,6.0,25.0,2.0,173.11,34.0,No,2026-01-05,2,17.0,10.0,4.0,8.0,5.0,0.0,72.0,21.0,both,0.0,47,Spinal Tap,Misery,3.9,4.0,56014.0,123835.0,Comedy,Horror/Drama,1984.0,1990.0,2,1,3.95,4.0,179849.0,123835.0,1987.0,1984.0,2026,39.0,Comedy,High,11.726713388560304,12.09987844912377,1,Monday,140.0,70.0
Regular screening,273.0,4.0,195.0,2.0,413.05,86.0,No,2026-01-08,2,35.0,34.0,11.0,23.0,9.0,0.0,72.0,21.0,both,0.0,48,City of God,La Haine,4.6,4.5,198051.0,228979.0,Drama,Drama,2002.0,1995.0,2,1,4.55,4.6,427030.0,228979.0,1998.5,1995.0,2026,27.5,Drama,Very High,12.341389942477804,12.96461188910716,1,Thursday,472.0,236.0
Regular screening,293.0,5.0,113.0,2.0,368.41,81.0,No,2026-01-12,2,27.0,32.0,17.0,15.0,9.0,0.0,167.0,76.0,both,0.0,49,Little Women,The Virgin Suicides,4.2,3.9,571343.0,328658.0,Romance/Drama,Romance/Drama,2019.0,1999.0,2,1,4.05,4.2,900001.0,571343.0,2009.0,1999.0,2026,17.0,Romance,Very High,13.255746759075771,13.7101522645262,1,Monday,411.0,205.5
Regular screening,96.0,1.0,24.0,2.0,33.66,9.0,No,2026-01-15,2,2.0,3.0,1.0,4.0,0.0,0.0,167.0,76.0,both,0.0,50,The Assaination of Jesse James,Meeks Cutoff,4.0,3.7,30444.0,9741.0,Drama/Western,Drama/Western,2007.0,2010.0,2,1,3.85,4.0,40185.0,30444.0,2008.5,2007.0,2026,17.5,Drama,Medium,10.323677056042674,10.601273955244498,1,Thursday,121.0,60.5
Regular screening,145.0,0.0,46.0,2.0,126.3,25.0,No,2026-01-19,2,10.0,8.0,0.0,12.0,4.0,0.0,119.0,55.0,both,2.0,51,Do the Right Thing,Mystery Train,4.4,4.0,115391.0,15773.0,Drama,Comedy,1989.0,1989.0,2,1,4.2,4.4,131164.0,115391.0,1989.0,1989.0,2026,37.0,Drama,High,11.656090306562989,11.784211351610452,1,Monday,191.0,95.5
Screen + Q&A,75.0,1.0,15.0,3.0,13.0,5.0,Yes,2026-01-21,2,0.0,2.0,0.0,3.0,0.0,0.0,119.0,55.0,both,0.0,52,Three Promises,,3.8,,214.0,,Documentary,,2023.0,,1,0,3.8,3.8,214.0,214.0,2023.0,2023.0,2026,3.0,Documentary,Low,5.3706380281276624,5.3706380281276624,1,Wednesday,91.0,45.5
Regular screening,108.0,0.0,33.0,2.0,78.15,19.0,No,2026-01-22,2,5.0,4.0,1.0,5.0,0.0,0.0,119.0,55.0,both,10.0,53,All That Jazz,The Phantom of the Paradise,4.3,4.1,52093.0,66010.0,Drama,Comedy/Horror,1979.0,1974.0,2,1,4.199999999999999,4.3,118103.0,66010.0,1976.5,1974.0,2026,49.5,Drama,High,11.097576673787884,11.679320871213925,1,Thursday,141.0,70.5
